"date","BTC","ETH","BNB","SOL","XRP","ADA"
2023-05-14,26930.638671875,1800.5009765625,312.135894775391,20.9533977508545,0.425859987735748,0.370761007070541
2023-05-15,27192.693359375,1817.54992675781,313.529418945312,21.0071887969971,0.42756199836731,0.367482006549835
2023-05-16,27036.650390625,1824.12145996094,311.380035400391,20.6794204711914,0.441421985626221,0.367830008268356
2023-05-17,27398.802734375,1821.85961914062,314.083526611328,21.0683994293213,0.448588997125626,0.375425010919571
2023-05-18,26832.208984375,1801.728515625,309.456695556641,20.3486957550049,0.460298985242844,0.372078001499176
2023-05-19,26890.12890625,1812.58947753906,308.964294433594,20.3498706817627,0.467981994152069,0.368214994668961
2023-05-20,27129.5859375,1820.47802734375,310.719970703125,20.2854461669922,0.46908101439476,0.366356998682022
2023-05-21,26753.826171875,1804.53137207031,306.506713867188,19.6094379425049,0.45754998922348,0.360363006591797
2023-05-22,26851.27734375,1817.53479003906,309.245635986328,19.5420455932617,0.461600989103317,0.367996990680695
2023-05-23,27225.7265625,1854.38061523438,313.506225585938,20.0431823730469,0.465429991483688,0.370483994483948
2023-05-24,26334.818359375,1800.09997558594,305.932769775391,19.2236633300781,0.453608989715576,0.364234000444412
2023-05-25,26476.20703125,1805.95373535156,304.733642578125,19.2606620788574,0.453734010457993,0.358415991067886
2023-05-26,26719.291015625,1828.68969726562,306.886322021484,19.3669567108154,0.469139993190765,0.362884014844894
2023-05-27,26868.353515625,1831.11828613281,307.591766357422,20.4252338409424,0.472245007753372,0.366773992776871
2023-05-28,28085.646484375,1910.91418457031,314.270050048828,20.7985782623291,0.482888996601105,0.382999002933502
2023-05-29,27745.884765625,1893.078125,311.807189941406,20.5865097045898,0.494150996208191,0.379137992858887
2023-05-30,27702.349609375,1901.02661132812,311.684509277344,21.2540836334229,0.521938025951385,0.377934008836746
2023-05-31,27219.658203125,1874.13049316406,306.86669921875,20.8245029449463,0.517386019229889,0.37440299987793
2023-06-01,26819.97265625,1862.20141601562,304.953277587891,20.50221824646,0.507317006587982,0.364724010229111
2023-06-02,27249.58984375,1907.25659179688,307.423797607422,21.2575950622559,0.525386989116669,0.378304004669189
2023-06-03,27075.12890625,1892.41247558594,306.720123291016,21.1555652618408,0.519351005554199,0.376028001308441
2023-06-04,27119.06640625,1890.51354980469,305.156799316406,21.8189754486084,0.535911023616791,0.377692997455597
2023-06-05,25760.09765625,1811.82836914062,276.889251708984,20.0750598907471,0.510393977165222,0.352014988660812
2023-06-06,27238.783203125,1884.49487304688,281.495574951172,20.3984832763672,0.530463993549347,0.353715002536774
2023-06-07,26345.998046875,1832.39599609375,259.391448974609,18.6342830657959,0.51962798833847,0.322277992963791
2023-06-08,26508.216796875,1846.30187988281,262.148498535156,18.9094753265381,0.524546027183533,0.323157012462616
2023-06-09,26480.375,1840.22521972656,260.716094970703,17.3796997070312,0.537917017936707,0.295401006937027
2023-06-10,25851.240234375,1752.384765625,239.089080810547,15.6561012268066,0.508198976516724,0.276194006204605
2023-06-11,25940.16796875,1753.41528320312,235.43879699707,15.5587759017944,0.521220982074738,0.272630006074905
2023-06-12,25902.5,1742.52868652344,231.05143737793,15.1967077255249,0.52572101354599,0.275047987699509
2023-06-13,25918.728515625,1739.03759765625,243.890533447266,15.0181932449341,0.520085990428925,0.274985998868942
2023-06-14,25124.67578125,1650.51928710938,237.574264526367,14.486572265625,0.48021999001503,0.263226002454758
2023-06-15,25576.39453125,1665.51977539062,236.280685424805,14.7594728469849,0.480118006467819,0.261956989765167
2023-06-16,26327.462890625,1716.66882324219,239.114669799805,15.3082542419434,0.475742995738983,0.263184994459152
2023-06-17,26510.67578125,1727.2041015625,244.610580444336,15.6505212783813,0.47979000210762,0.266927987337112
2023-06-18,26336.212890625,1720.57751464844,244.087265014648,15.4382352828979,0.487572997808456,0.26096299290657
2023-06-19,26851.029296875,1737.65942382812,242.903366088867,16.0730419158936,0.493395000696182,0.263047993183136
2023-06-20,28327.48828125,1792.11999511719,247.674438476562,16.6352310180664,0.492870002985001,0.270328998565674
2023-06-21,30027.296875,1891.00720214844,249.286346435547,17.2570457458496,0.500694990158081,0.287000000476837
2023-06-22,29912.28125,1872.94299316406,240.792434692383,16.6426200866699,0.494975000619888,0.290313005447388
2023-06-23,30695.46875,1892.86206054688,244.56494140625,17.1495342254639,0.496565997600555,0.296481996774673
2023-06-24,30548.6953125,1876.05969238281,236.659652709961,16.6528625488281,0.487313002347946,0.290012001991272
2023-06-25,30480.26171875,1900.50610351562,238.892990112305,16.9713802337646,0.490276992321014,0.292324990034103
2023-06-26,30271.130859375,1859.43286132812,236.134262084961,16.2700271606445,0.479332000017166,0.280353993177414
2023-06-27,30688.1640625,1889.70336914062,237.49267578125,16.619649887085,0.483839988708496,0.286520004272461
2023-06-28,30086.24609375,1827.97119140625,230.650360107422,15.9868431091309,0.465222001075745,0.267168998718262
2023-06-29,30445.3515625,1852.22729492188,233.232452392578,17.9704570770264,0.474721997976303,0.275563985109329
2023-06-30,30477.251953125,1933.18896484375,240.369781494141,18.8973217010498,0.474036991596222,0.286956012248993
2023-07-01,30590.078125,1924.56591796875,247.759429931641,18.6839027404785,0.473522007465363,0.292340010404587
2023-07-02,30620.76953125,1937.43835449219,246.257919311523,19.4535942077637,0.484492987394333,0.292055010795593
2023-07-03,31156.439453125,1955.38916015625,246.382217407227,19.2405376434326,0.48954701423645,0.296310991048813
2023-07-04,30777.58203125,1936.63354492188,242.492919921875,19.1432285308838,0.487841993570328,0.292614996433258
2023-07-05,30514.166015625,1910.58801269531,239.081085205078,18.9928646087646,0.478271991014481,0.28447100520134
2023-07-06,29909.337890625,1848.63647460938,232.319427490234,19.7293853759766,0.463739007711411,0.279700011014938
2023-07-07,30342.265625,1870.6025390625,235.621154785156,21.4846649169922,0.468764990568161,0.284525007009506
2023-07-08,30292.541015625,1865.53955078125,236.287384033203,21.8592681884766,0.470643997192383,0.290650993585587
2023-07-09,30171.234375,1863.009765625,234.228363037109,21.3490047454834,0.468549996614456,0.284590989351273
2023-07-10,30414.470703125,1880.55639648438,245.874267578125,21.3137760162354,0.477663993835449,0.287990987300873
2023-07-11,30620.951171875,1878.33605957031,248.538330078125,22.0929336547852,0.475719004869461,0.292818009853363
2023-07-12,30391.646484375,1872.11376953125,244.019882202148,21.9776020050049,0.471105009317398,0.288758009672165
2023-07-13,31476.048828125,2006.51147460938,256.489685058594,26.0256958007812,0.815365016460419,0.357657998800278
2023-07-14,30334.068359375,1939.34704589844,248.191619873047,26.7357177734375,0.719156980514526,0.32880100607872
2023-07-15,30295.806640625,1931.46655273438,251.099700927734,27.3913555145264,0.713279008865356,0.326364994049072
2023-07-16,30249.1328125,1923.68188476562,242.656829833984,27.3840827941895,0.746860027313232,0.314884006977081
2023-07-17,30145.888671875,1911.64611816406,244.352996826172,26.872766494751,0.739205002784729,0.312489002943039
2023-07-18,29856.5625,1897.59924316406,240.264938354492,25.5445041656494,0.779540002346039,0.3073990046978
2023-07-19,29913.923828125,1889.00793457031,241.16081237793,26.3723526000977,0.820694029331207,0.323513001203537
2023-07-20,29792.015625,1890.96911621094,242.733139038086,25.3751678466797,0.79405802488327,0.316092997789383
2023-07-21,29908.744140625,1892.080078125,243.788986206055,25.5442676544189,0.77250200510025,0.313291996717453
2023-07-22,29771.802734375,1864.91235351562,241.030746459961,24.5350532531738,0.73328697681427,0.30977201461792
2023-07-23,30084.5390625,1889.19165039062,242.455963134766,24.7668151855469,0.738682985305786,0.317162990570068
2023-07-24,29176.916015625,1850.00207519531,238.946212768555,23.3814907073975,0.702764987945557,0.305308997631073
2023-07-25,29227.390625,1857.74194335938,237.808563232422,23.2793216705322,0.70959997177124,0.304017007350922
2023-07-26,29354.97265625,1872.15991210938,238.962356567383,25.1770534515381,0.71579897403717,0.306641012430191
