"date","ticker","open","high","low","close","volume","adjusted"
2024-06-28,"ADA",0.390709012746811,0.395170986652374,0.385192006826401,0.385426014661789,296816495,0.385426014661789
2024-06-29,"ADA",0.385414987802505,0.402024000883102,0.383794993162155,0.383964985609055,230567794,0.383964985609055
2024-06-30,"ADA",0.383967995643616,0.393233001232147,0.379193991422653,0.392192006111145,194815973,0.392192006111145
2024-07-01,"ADA",0.392134994268417,0.407561987638474,0.391472011804581,0.402907013893127,256575826,0.402907013893127
2024-07-02,"ADA",0.402877002954483,0.418783009052277,0.4028500020504,0.417775005102158,260819618,0.417775005102158
2024-07-03,"ADA",0.417784005403519,0.421909987926483,0.401297986507416,0.406738013029099,391834481,0.406738013029099
2024-07-04,"ADA",0.406720995903015,0.412631988525391,0.362859010696411,0.362859010696411,575895856,0.362859010696411
2024-07-05,"ADA",0.362713009119034,0.362713009119034,0.320955008268356,0.349884986877441,772752357,0.349884986877441
2024-07-06,"ADA",0.349907994270325,0.372936010360718,0.348542004823685,0.371221005916595,288462471,0.371221005916595
2024-07-07,"ADA",0.37118399143219,0.37118399143219,0.345892995595932,0.346617996692657,254988837,0.346617996692657
2024-07-08,"ADA",0.346644997596741,0.378874987363815,0.333342999219894,0.369006991386414,506143395,0.369006991386414
2024-07-09,"ADA",0.368964999914169,0.380542993545532,0.363777995109558,0.375328004360199,272785226,0.375328004360199
2024-07-10,"ADA",0.375371009111404,0.389622986316681,0.372512996196747,0.38883501291275,251166038,0.38883501291275
2024-07-11,"ADA",0.388803005218506,0.40413099527359,0.385637998580933,0.395817011594772,313288172,0.395817011594772
2024-07-12,"ADA",0.395835995674133,0.417659014463425,0.394259005784988,0.416523993015289,354134954,0.416523993015289
2024-07-13,"ADA",0.41652700304985,0.445179998874664,0.412321001291275,0.441415011882782,365695869,0.441415011882782
2024-07-14,"ADA",0.441437005996704,0.444494992494583,0.426165014505386,0.432348012924194,355552828,0.432348012924194
2024-07-15,"ADA",0.432368993759155,0.445582002401352,0.432166010141373,0.445582002401352,466472243,0.445582002401352
2024-07-16,"ADA",0.445491999387741,0.452194005250931,0.427385985851288,0.438188999891281,485890791,0.438188999891281
2024-07-17,"ADA",0.438226014375687,0.455222994089127,0.436724007129669,0.436747997999191,389017769,0.436747997999191
2024-07-18,"ADA",0.436690002679825,0.448664009571075,0.420814007520676,0.423905998468399,338163499,0.423905998468399
2024-07-19,"ADA",0.423898011445999,0.4427649974823,0.415930986404419,0.439033985137939,340393258,0.439033985137939
2024-07-20,"ADA",0.439033001661301,0.441671997308731,0.428813010454178,0.437637001276016,250105075,0.437637001276016
2024-07-21,"ADA",0.437637001276016,0.448473006486893,0.418958008289337,0.446076989173889,333865949,0.446076989173889
2024-07-22,"ADA",0.446056991815567,0.449400991201401,0.425343990325928,0.426546990871429,546207226,0.426546990871429
2024-07-23,"ADA",0.426546990871429,0.429298996925354,0.404624998569489,0.410097002983093,348574391,0.410097002983093
2024-07-24,"ADA",0.410088986158371,0.420872986316681,0.404686003923416,0.40684700012207,335809825,0.40684700012207
2024-07-25,"ADA",0.40684700012207,0.40787398815155,0.38282498717308,0.394670993089676,359539415,0.394670993089676
2024-07-26,"ADA",0.394672006368637,0.419571995735168,0.394585996866226,0.417746990919113,265380415,0.417746990919113
